index,time_from_trigger_s,sample_signed_approx_24bit,trigger,frame_error_latched
750,-0.412634074,2048,0,0
751,-0.411117037,2048,0,0
752,-0.409600000,1024,0,0
753,-0.408082963,1024,0,0
754,-0.406565926,2048,0,0
755,-0.405048889,2048,0,0
756,-0.403531852,0,0,0
757,-0.402014815,-1024,0,0
758,-0.400497778,0,0,0
759,-0.398980741,-1024,0,0
760,-0.397463704,-4096,0,0
761,-0.395946667,-4096,0,0
762,-0.394429630,-4096,0,0
763,-0.392912593,-3072,0,0
764,-0.391395556,-5120,0,0
765,-0.389878519,-4096,0,0
766,-0.388361481,-6144,0,0
767,-0.386844444,-5120,0,0
768,-0.385327407,-8192,0,0
769,-0.383810370,-8192,0,0
770,-0.382293333,-8192,0,0
771,-0.380776296,-7168,0,0
772,-0.379259259,-5120,0,0
773,-0.377742222,-7168,0,0
774,-0.376225185,-9216,0,0
775,-0.374708148,-8192,0,0
776,-0.373191111,-8192,0,0
777,-0.371674074,-9216,0,0
778,-0.370157037,-8192,0,0
779,-0.368640000,-4096,0,0
780,-0.367122963,-8192,0,0
781,-0.365605926,-7168,0,0
782,-0.364088889,-6144,0,0
783,-0.362571852,-8192,0,0
784,-0.361054815,-7168,0,0
785,-0.359537778,-5120,0,0
786,-0.358020741,-6144,0,0
787,-0.356503704,-5120,0,0
788,-0.354986667,-8192,0,0
789,-0.353469630,-6144,0,0
790,-0.351952593,-8192,0,0
791,-0.350435556,-8192,0,0
792,-0.348918519,-7168,0,0
793,-0.347401481,-5120,0,0
794,-0.345884444,-7168,0,0
795,-0.344367407,-10240,0,0
796,-0.342850370,-5120,0,0
797,-0.341333333,-7168,0,0
798,-0.339816296,-7168,0,0
799,-0.338299259,-8192,0,0
800,-0.336782222,-5120,0,0
801,-0.335265185,-6144,0,0
802,-0.333748148,-5120,0,0
803,-0.332231111,-5120,0,0
804,-0.330714074,-4096,0,0
805,-0.329197037,-5120,0,0
806,-0.327680000,-4096,0,0
807,-0.326162963,-5120,0,0
808,-0.324645926,-4096,0,0
809,-0.323128889,-2048,0,0
810,-0.321611852,-5120,0,0
811,-0.320094815,-5120,0,0
812,-0.318577778,-6144,0,0
813,-0.317060741,-7168,0,0
814,-0.315543704,-6144,0,0
815,-0.314026667,-7168,0,0
816,-0.312509630,-6144,0,0
817,-0.310992593,-5120,0,0
818,-0.309475556,-4096,0,0
819,-0.307958519,-4096,0,0
820,-0.306441481,-3072,0,0
821,-0.304924444,-4096,0,0
822,-0.303407407,-6144,0,0
823,-0.301890370,-4096,0,0
824,-0.300373333,-2048,0,0
825,-0.298856296,-3072,0,0
826,-0.297339259,-2048,0,0
827,-0.295822222,-1024,0,0
828,-0.294305185,-1024,0,0
829,-0.292788148,-3072,0,0
830,-0.291271111,0,0,0
831,-0.289754074,-2048,0,0
832,-0.288237037,-2048,0,0
833,-0.286720000,0,0,0
834,-0.285202963,-1024,0,0
835,-0.283685926,0,0,0
836,-0.282168889,-2048,0,0
837,-0.280651852,-2048,0,0
838,-0.279134815,-5120,0,0
839,-0.277617778,-2048,0,0
840,-0.276100741,-4096,0,0
841,-0.274583704,-4096,0,0
842,-0.273066667,-3072,0,0
843,-0.271549630,-4096,0,0
